ID;Nome do Produto;Categoria;Marca;Preço (R$);Custo Produção (R$);Margem Lucro (%);Consumo kWh;Eficiência;Peso (kg);Região Venda;Canal Venda;Promoção;Avaliação Cliente;Garantia (meses);Data da Venda;Tipo de Cliente;Forma de Pagamento;Fornecedor
14;Geladeira modelo 653;Geladeira;Philco;461,33;363,25;27;318.97;A;13.33;Sudeste;E-commerce;Não;5;18;10/03/2022;Consumidor Final;Dinheiro;Distribuidora Epsilon
15;Ar Condicionado modelo 108;Ar Condicionado;LG;1579,08;1187,28;33;430.59;B;23.46;Sul;E-commerce;Não;4;24;20/10/2023;Consumidor Final;Dinheiro;Distribuidora Epsilon
16;Micro-ondas modelo 747;Micro-ondas;LG;862,64;770,21;12;276.09;D;8.87;Sudeste;E-commerce;Não;3;24;23/06/2022;Revendedor;PIX;Fornecedora Gamma
17;Secadora modelo 240;Secadora;Electrolux;2165,75;1592,46;36;93.26;D;9.77;Sudeste;E-commerce;Não;4;18;23/01/2022;Revendedor;Dinheiro;Distribuidora Alfa
18;Secadora modelo 585;Secadora;Consul;1273,44;929,52;37;420.17;D;53.98;Centro-Oeste;E-commerce;Não;4;24;16/04/2023;Consumidor Final;PIX;Fornecedor Delta
19;Secadora modelo 329;Secadora;Electrolux;461,93;366,61;26;296.9;D;92.57;Sul;E-commerce;Não;4;18;24/09/2023;Revendedor;Dinheiro;Fornecedor Delta
20;Secadora modelo 441;Secadora;LG;1490,85;1173,90;27;278.79;B;11.59;Sul;E-commerce;Não;2;24;10/01/2022;Revendedor;Dinheiro;Distribuidora Beta
21;Secadora modelo 291;Secadora;Brastemp;448,56;390,05;15;255.26;C;57.26;Nordeste;Loja Física;Não;3;12;31/05/2022;Consumidor Final;Boleto;Fornecedor Delta
22;Micro-ondas modelo 518;Micro-ondas;Electrolux;2000,66;1527,22;31;213.53;B;50.2;Nordeste;E-commerce;Não;3;18;10/04/2023;Revendedor;Boleto;Distribuidora Epsilon
23;Secadora modelo 192;Secadora;Samsung;1485,06;1076,13;38;369.2;C;35.18;Nordeste;E-commerce;Sim;3;36;10/08/2022;Consumidor Final;Dinheiro;Fornecedor Delta
24;Micro-ondas modelo 394;Micro-ondas;LG;1326,53;1133,79;17;198.54;A;5.32;Norte;Loja Física;Não;4;12;20/04/2023;Consumidor Final;Cartão;Fornecedor Delta
25;Ar Condicionado modelo 276;Ar Condicionado;Whirlpool;2215,28;1616,99;37;262.29;D;88.42;Sudeste;E-commerce;Não;1;24;19/01/2022;Consumidor Final;Boleto;Distribuidora Epsilon
26;Máquina de Lavar modelo 892;Máquina de Lavar;Samsung;1407,07;1050,05;34;51.05;B;21.65;Nordeste;E-commerce;Sim;2;36;29/04/2022;Revendedor;Cartão;Fornecedora Gamma
27;Geladeira modelo 873;Geladeira;Consul;654,56;503,51;30;175.39;B;73.0;Sul;E-commerce;Sim;5;18;22/09/2022;Revendedor;Dinheiro;Distribuidora Epsilon
28;Geladeira modelo 532;Geladeira;Philco;2139,75;1860,65;15;350.15;A;13.92;Centro-Oeste;Loja Física;Sim;4;24;02/06/2023;Consumidor Final;PIX;Distribuidora Beta
29;Micro-ondas modelo 395;Micro-ondas;Whirlpool;246,55;212,54;16;246.32;B;88.44;Sudeste;Loja Física;Não;3;18;22/06/2023;Revendedor;Dinheiro;Distribuidora Epsilon
30;Geladeira modelo 658;Geladeira;Consul;1626,91;1129,80;44;241.04;B;30.0;Sul;E-commerce;Sim;1;12;30/04/2022;Consumidor Final;Dinheiro;Fornecedor Delta
31;Micro-ondas modelo 208;Micro-ondas;Brastemp;2035,4;1433,38;42;115.37;D;40.75;Sul;Loja Física;Sim;3;12;09/10/2022;Revendedor;Boleto;Distribuidora Epsilon
32;Máquina de Lavar modelo 994;Máquina de Lavar;Electrolux;648,16;466,30;39;198.94;B;74.01;Nordeste;E-commerce;Sim;4;18;23/11/2022;Consumidor Final;Cartão;Distribuidora Beta
33;Geladeira modelo 479;Geladeira;Brastemp;609,27;516,33;18;181.07;A;87.5;Sudeste;Loja Física;Não;3;18;10/01/2023;Consumidor Final;Boleto;Distribuidora Epsilon
34;Geladeira modelo 844;Geladeira;Consul;586,66;492,99;19;250.74;B;21.21;Centro-Oeste;Loja Física;Não;2;36;14/09/2023;Revendedor;Boleto;Distribuidora Alfa
35;Fogão modelo 692;Fogão;Whirlpool;615,21;484,42;27;489.11;A;69.93;Sul;E-commerce;Sim;2;18;15/05/2023;Consumidor Final;Boleto;Distribuidora Beta
36;Micro-ondas modelo 134;Micro-ondas;LG;2888,05;1964,66;47;106.41;A;30.39;Sul;E-commerce;Não;4;18;12/07/2023;Consumidor Final;Dinheiro;Fornecedora Gamma
37;Micro-ondas modelo 910;Micro-ondas;Brastemp;2008,29;1761,66;14;207.75;B;65.62;Sudeste;E-commerce;Não;3;24;17/07/2022;Consumidor Final;Dinheiro;Fornecedora Gamma
38;Fogão modelo 587;Fogão;Philco;2183,07;1593,48;37;389.42;B;88.04;Sudeste;Loja Física;Não;4;18;20/12/2022;Revendedor;Cartão;Distribuidora Alfa
39;Máquina de Lavar modelo 713;Máquina de Lavar;Brastemp;552,66;375,96;47;482.24;D;11.22;Centro-Oeste;E-commerce;Sim;4;18;17/10/2022;Revendedor;PIX;Distribuidora Alfa
40;Micro-ondas modelo 262;Micro-ondas;Samsung;2689,99;1921,42;40;84.49;C;28.59;Norte;Loja Física;Não;2;24;30/09/2023;Consumidor Final;PIX;Fornecedor Delta
41;Ar Condicionado modelo 944;Ar Condicionado;Consul;1297,74;1109,18;17;460.54;A;70.16;Centro-Oeste;Loja Física;Não;2;36;12/07/2022;Consumidor Final;Boleto;Distribuidora Epsilon
42;Micro-ondas modelo 644;Micro-ondas;Consul;1827,72;1269,25;44;215.82;A;69.19;Centro-Oeste;Loja Física;Não;4;24;01/12/2023;Revendedor;Dinheiro;Fornecedora Gamma
43;Ar Condicionado modelo 229;Ar Condicionado;Brastemp;1042,52;891,04;17;171.51;B;20.43;Nordeste;Loja Física;Sim;2;24;10/11/2023;Revendedor;Boleto;Distribuidora Beta
44;Ar Condicionado modelo 487;Ar Condicionado;Philco;498,15;440,84;13;225.61;A;73.86;Sul;Loja Física;Não;4;18;30/05/2023;Revendedor;PIX;Distribuidora Alfa
45;Fogão modelo 231;Fogão;Consul;2317,75;1576,70;47;215.49;B;34.22;Sudeste;Loja Física;Não;3;36;30/08/2023;Revendedor;Dinheiro;Distribuidora Alfa
46;Geladeira modelo 639;Geladeira;LG;961,97;739,98;30;319.69;A;95.2;Nordeste;E-commerce;Sim;3;36;24/04/2023;Consumidor Final;Dinheiro;Distribuidora Alfa
47;Fogão modelo 660;Fogão;Samsung;2263,98;1855,72;22;60.39;B;86.03;Sudeste;E-commerce;Não;4;18;08/11/2023;Consumidor Final;Boleto;Distribuidora Epsilon
48;Máquina de Lavar modelo 256;Máquina de Lavar;Philco;266,77;215,14;24;452.43;A;84.05;Sudeste;E-commerce;Não;1;12;16/11/2022;Revendedor;PIX;Distribuidora Beta
49;Geladeira modelo 338;Geladeira;Consul;1764,55;1297,46;36;107.86;B;83.28;Nordeste;Loja Física;Não;3;12;26/05/2022;Revendedor;PIX;Distribuidora Alfa
50;Fogão modelo 851;Fogão;Philco;2270,46;1681,82;35;106.91;A;50.48;Sudeste;E-commerce;Sim;5;18;01/11/2023;Consumidor Final;Boleto;Fornecedor Delta
51;Secadora modelo 572;Secadora;Brastemp;1363;1090,40;25;121.44;D;32.08;Norte;E-commerce;Não;3;12;31/08/2022;Revendedor;PIX;Fornecedora Gamma
52;Micro-ondas modelo 137;Micro-ondas;Brastemp;2048,4;1679,02;22;366.05;B;32.94;Nordeste;E-commerce;Não;3;24;02/02/2023;Consumidor Final;Boleto;Distribuidora Epsilon
53;Geladeira modelo 274;Geladeira;Whirlpool;534,4;358,66;49;288.26;A;99.23;Norte;E-commerce;Sim;2;18;01/05/2022;Consumidor Final;Dinheiro;Fornecedor Delta
54;Ar Condicionado modelo 254;Ar Condicionado;Philco;648,3;563,74;15;202.79;D;27.42;Centro-Oeste;Loja Física;Não;2;24;23/01/2022;Consumidor Final;Boleto;Distribuidora Beta
55;Micro-ondas modelo 302;Micro-ondas;Brastemp;610,67;508,89;20;253.9;D;89.12;Norte;E-commerce;Não;1;24;26/03/2023;Consumidor Final;Boleto;Distribuidora Beta
56;Máquina de Lavar modelo 965;Máquina de Lavar;LG;654,67;492,23;33;206.49;B;52.07;Centro-Oeste;Loja Física;Sim;3;18;05/10/2023;Revendedor;Cartão;Fornecedora Gamma
57;Geladeira modelo 937;Geladeira;LG;804,28;638,32;26;168.09;C;82.87;Nordeste;E-commerce;Não;5;36;09/08/2022;Revendedor;Cartão;Fornecedor Delta
58;Secadora modelo 932;Secadora;Electrolux;1517,73;1185,73;28;322.71;D;29.31;Sul;E-commerce;Não;5;24;01/04/2023;Consumidor Final;Dinheiro;Distribuidora Epsilon
59;Secadora modelo 742;Secadora;Philco;1354,13;1167,35;16;75.64;C;90.91;Sul;Loja Física;Não;3;36;02/08/2023;Consumidor Final;PIX;Distribuidora Epsilon
60;Micro-ondas modelo 627;Micro-ondas;Brastemp;355,87;252,39;41;398.05;C;74.52;Nordeste;E-commerce;Sim;5;24;17/12/2022;Revendedor;Cartão;Fornecedor Delta
61;Máquina de Lavar modelo 232;Máquina de Lavar;Whirlpool;717,15;623,61;15;430.47;D;81.65;Sul;Loja Física;Sim;2;18;04/04/2023;Revendedor;PIX;Fornecedora Gamma
62;Micro-ondas modelo 362;Micro-ondas;LG;2213,7;1908,36;16;326.56;D;82.55;Sudeste;Loja Física;Não;4;24;18/09/2022;Revendedor;Boleto;Fornecedora Gamma
63;Secadora modelo 520;Secadora;Whirlpool;1155,89;889,15;30;402.88;A;23.75;Nordeste;Loja Física;Sim;5;12;23/05/2022;Revendedor;Boleto;Fornecedor Delta
64;Máquina de Lavar modelo 121;Máquina de Lavar;LG;2206,79;1838,99;20;443.9;C;42.6;Centro-Oeste;E-commerce;Não;5;18;10/12/2023;Consumidor Final;Cartão;Distribuidora Beta
65;Máquina de Lavar modelo 640;Máquina de Lavar;Consul;1875,65;1442,81;30;52.52;B;91.49;Norte;E-commerce;Sim;2;12;14/05/2023;Consumidor Final;PIX;Fornecedor Delta
66;Secadora modelo 155;Secadora;LG;1517,08;1185,22;28;226.88;B;16.42;Nordeste;E-commerce;Sim;5;36;04/04/2022;Revendedor;Cartão;Fornecedor Delta
67;Secadora modelo 372;Secadora;Samsung;602,2;547,45;10;151.08;D;90.53;Centro-Oeste;Loja Física;Não;2;36;17/01/2023;Revendedor;PIX;Distribuidora Epsilon
68;Secadora modelo 149;Secadora;Consul;1466,01;1145,32;28;304.85;B;5.95;Nordeste;E-commerce;Não;2;36;17/12/2023;Revendedor;Boleto;Distribuidora Alfa
69;Geladeira modelo 653;Geladeira;Brastemp;372,93;313,39;19;304.48;A;96.42;Sudeste;Loja Física;Sim;5;24;24/01/2023;Consumidor Final;Dinheiro;Fornecedora Gamma
70;Máquina de Lavar modelo 143;Máquina de Lavar;Brastemp;1862,05;1526,27;22;263.92;D;11.98;Nordeste;E-commerce;Não;4;36;13/06/2023;Revendedor;PIX;Distribuidora Epsilon
71;Secadora modelo 916;Secadora;Electrolux;703,28;545,18;29;464.82;B;28.87;Nordeste;E-commerce;Sim;3;36;07/11/2022;Consumidor Final;PIX;Distribuidora Beta
72;Geladeira modelo 224;Geladeira;Philco;937,59;794,57;18;341.73;D;11.87;Norte;E-commerce;Não;4;18;24/06/2022;Consumidor Final;Dinheiro;Distribuidora Alfa
73;Máquina de Lavar modelo 787;Máquina de Lavar;Electrolux;1362,2;1047,85;30;171.04;D;67.72;Centro-Oeste;Loja Física;Sim;2;36;21/11/2022;Consumidor Final;Cartão;Fornecedor Delta
74;Micro-ondas modelo 912;Micro-ondas;LG;1628,56;1100,38;48;85.37;D;27.36;Nordeste;Loja Física;Sim;1;36;25/10/2022;Revendedor;Cartão;Fornecedor Delta
75;Máquina de Lavar modelo 819;Máquina de Lavar;LG;1400,72;1120,58;25;428.64;D;25.18;Nordeste;E-commerce;Não;5;24;16/06/2022;Revendedor;PIX;Distribuidora Alfa
76;Micro-ondas modelo 282;Micro-ondas;Philco;1577,75;1118,97;41;412.62;D;75.29;Centro-Oeste;Loja Física;Não;4;36;23/04/2023;Consumidor Final;PIX;Fornecedor Delta
77;Fogão modelo 512;Fogão;Consul;1650,57;1387,03;19;56.17;D;92.04;Sul;Loja Física;Não;4;12;07/10/2023;Revendedor;Boleto;Distribuidora Alfa
78;Micro-ondas modelo 518;Micro-ondas;Consul;561;434,88;29;77.78;B;52.47;Sul;Loja Física;Sim;1;12;16/09/2023;Consumidor Final;Dinheiro;Distribuidora Epsilon
79;Micro-ondas modelo 648;Micro-ondas;Consul;1227,64;1067,51;15;388.58;C;63.1;Centro-Oeste;E-commerce;Sim;5;36;05/07/2023;Consumidor Final;Boleto;Fornecedor Delta
80;Secadora modelo 465;Secadora;Whirlpool;1847,2;1578,80;17;359.77;D;76.88;Nordeste;Loja Física;Sim;5;36;05/05/2023;Consumidor Final;Dinheiro;Distribuidora Beta
81;Geladeira modelo 200;Geladeira;Philco;2269,94;1544,18;47;366.18;A;75.93;Centro-Oeste;Loja Física;Sim;5;18;15/09/2022;Consumidor Final;Dinheiro;Distribuidora Alfa
82;Geladeira modelo 575;Geladeira;LG;1702,65;1362,12;25;50.7;D;21.37;Sul;Loja Física;Sim;3;18;30/11/2023;Consumidor Final;Boleto;Distribuidora Alfa
83;Micro-ondas modelo 548;Micro-ondas;LG;2106,98;1727,03;22;78.07;A;42.69;Centro-Oeste;E-commerce;Não;1;24;21/04/2022;Consumidor Final;PIX;Distribuidora Alfa
84;Micro-ondas modelo 156;Micro-ondas;Consul;994,68;842,95;18;86.44;B;19.86;Centro-Oeste;E-commerce;Não;2;12;12/02/2023;Consumidor Final;Cartão;Distribuidora Alfa
85;Micro-ondas modelo 282;Micro-ondas;Philco;2207,83;1698,33;30;452.96;C;46.69;Norte;Loja Física;Não;2;36;09/05/2022;Consumidor Final;Cartão;Distribuidora Beta
86;Geladeira modelo 523;Geladeira;Electrolux;469,39;361,07;30;75.82;B;34.24;Sudeste;E-commerce;Sim;4;18;05/07/2022;Consumidor Final;Boleto;Distribuidora Beta
87;Secadora modelo 498;Secadora;Whirlpool;2708,12;1829,81;48;388.8;D;61.54;Sudeste;Loja Física;Não;3;18;29/03/2022;Revendedor;PIX;Fornecedor Delta
88;Geladeira modelo 397;Geladeira;Whirlpool;937,07;641,83;46;182.66;A;58.27;Sudeste;E-commerce;Não;2;24;19/07/2022;Revendedor;Cartão;Distribuidora Beta
89;Micro-ondas modelo 579;Micro-ondas;Philco;2258,64;1724,15;31;414.46;D;85.86;Sudeste;E-commerce;Sim;3;18;06/04/2023;Consumidor Final;Boleto;Distribuidora Beta
90;Fogão modelo 366;Fogão;Samsung;1593,21;1171,48;36;53.33;B;42.38;Sul;E-commerce;Não;2;12;10/12/2022;Consumidor Final;Boleto;Fornecedor Delta
91;Ar Condicionado modelo 151;Ar Condicionado;Brastemp;1203,18;904,65;33;136.55;B;86.4;Sudeste;Loja Física;Não;4;12;10/07/2022;Revendedor;Cartão;Distribuidora Epsilon
92;Micro-ondas modelo 663;Micro-ondas;Electrolux;1903,61;1442,13;32;209.77;C;12.25;Centro-Oeste;Loja Física;Sim;2;12;18/03/2022;Revendedor;Boleto;Fornecedora Gamma
93;Micro-ondas modelo 773;Micro-ondas;LG;1040,11;782,04;33;478.38;D;83.43;Sudeste;Loja Física;Não;3;12;24/04/2022;Consumidor Final;Cartão;Distribuidora Alfa
94;Fogão modelo 131;Fogão;Electrolux;1380,04;1179,52;17;202.86;A;40.55;Sul;Loja Física;Sim;2;36;29/08/2022;Revendedor;Cartão;Distribuidora Alfa
95;Fogão modelo 367;Fogão;Whirlpool;1885,8;1558,51;21;312.67;A;24.59;Sul;Loja Física;Sim;1;24;10/05/2022;Consumidor Final;PIX;Fornecedora Gamma
96;Ar Condicionado modelo 582;Ar Condicionado;Philco;1897,16;1493,83;27;398.66;C;29.12;Centro-Oeste;Loja Física;Não;3;18;29/06/2023;Revendedor;Boleto;Distribuidora Beta
97;Geladeira modelo 870;Geladeira;Samsung;835,04;596,46;40;379.22;A;22.87;Sudeste;Loja Física;Sim;2;12;03/04/2022;Consumidor Final;PIX;Distribuidora Alfa
98;Secadora modelo 258;Secadora;Electrolux;2168,3;1465,07;48;417.34;C;26.05;Norte;E-commerce;Sim;3;12;24/12/2022;Revendedor;Boleto;Fornecedor Delta
99;Micro-ondas modelo 676;Micro-ondas;LG;1599,66;1118,64;43;123.86;A;95.9;Norte;E-commerce;Não;3;12;15/12/2023;Consumidor Final;Boleto;Fornecedor Delta
100;Secadora modelo 953;Secadora;Philco;1779,15;1389,96;28;233.68;D;18.43;Nordeste;Loja Física;Sim;4;24;18/04/2023;Revendedor;Dinheiro;Distribuidora Epsilon
101;Fogão modelo 243;Fogão;LG;525,76;383,77;37;407.85;B;8.19;Centro-Oeste;E-commerce;Sim;4;24;11/04/2023;Consumidor Final;Cartão;Fornecedora Gamma
102;Fogão modelo 618;Fogão;Samsung;1761,12;1223,00;44;396.87;C;14.85;Norte;Loja Física;Não;5;36;23/05/2023;Consumidor Final;Boleto;Distribuidora Epsilon
103;Fogão modelo 627;Fogão;Electrolux;2301,74;1826,78;26;347.55;A;7.54;Norte;E-commerce;Sim;3;36;02/10/2022;Consumidor Final;Cartão;Fornecedor Delta
104;Geladeira modelo 882;Geladeira;Philco;1672,46;1145,52;46;197.9;A;62.72;Sudeste;Loja Física;Não;4;12;12/07/2023;Revendedor;Dinheiro;Distribuidora Beta
105;Ar Condicionado modelo 880;Ar Condicionado;Whirlpool;503,47;370,20;36;253.43;B;92.46;Norte;E-commerce;Sim;3;24;16/06/2023;Consumidor Final;Cartão;Fornecedora Gamma
106;Ar Condicionado modelo 634;Ar Condicionado;Electrolux;1746,48;1397,18;25;140.49;C;53.03;Nordeste;Loja Física;Não;4;24;19/06/2022;Consumidor Final;Cartão;Fornecedora Gamma
107;Geladeira modelo 237;Geladeira;LG;905,1;628,54;44;289.86;D;43.89;Centro-Oeste;E-commerce;Sim;3;36;06/04/2022;Consumidor Final;PIX;Fornecedora Gamma
108;Ar Condicionado modelo 381;Ar Condicionado;LG;958,51;785,66;22;134.17;C;39.0;Norte;Loja Física;Não;2;36;04/07/2022;Consumidor Final;Boleto;Fornecedor Delta
109;Geladeira modelo 373;Geladeira;Samsung;851,12;654,71;30;152.78;A;21.6;Norte;Loja Física;Sim;5;18;04/02/2023;Consumidor Final;PIX;Distribuidora Beta
110;Geladeira modelo 666;Geladeira;Philco;1403,69;1220,60;15;480.12;B;96.19;Sudeste;E-commerce;Sim;5;36;10/08/2023;Revendedor;Cartão;Distribuidora Alfa
111;Secadora modelo 713;Secadora;Whirlpool;353,62;282,90;25;270.22;D;31.06;Norte;Loja Física;Não;3;24;27/09/2023;Consumidor Final;Dinheiro;Fornecedor Delta
112;Geladeira modelo 629;Geladeira;Whirlpool;1075,38;802,52;34;202.43;A;95.43;Nordeste;E-commerce;Sim;2;12;21/10/2022;Consumidor Final;PIX;Distribuidora Epsilon
113;Secadora modelo 786;Secadora;Philco;2643,14;1972,49;34;423.67;B;29.61;Sudeste;E-commerce;Sim;3;18;31/10/2023;Revendedor;PIX;Fornecedor Delta
114;Ar Condicionado modelo 841;Ar Condicionado;Electrolux;254,02;201,60;26;196.45;A;41.86;Centro-Oeste;Loja Física;Não;5;12;19/02/2022;Revendedor;Dinheiro;Distribuidora Beta
115;Ar Condicionado modelo 594;Ar Condicionado;Samsung;994,51;720,66;38;366.48;A;82.24;Sudeste;E-commerce;Não;1;24;04/12/2022;Consumidor Final;Dinheiro;Fornecedor Delta
116;Ar Condicionado modelo 885;Ar Condicionado;Philco;1795,27;1424,82;26;411.5;B;52.67;Nordeste;Loja Física;Sim;5;12;24/01/2022;Revendedor;PIX;Distribuidora Alfa
117;Fogão modelo 821;Fogão;Samsung;305,03;252,09;21;101.81;D;94.83;Norte;E-commerce;Não;5;24;07/05/2023;Consumidor Final;Dinheiro;Fornecedora Gamma
118;Ar Condicionado modelo 141;Ar Condicionado;Samsung;2096,12;1650,49;27;389.5;D;72.21;Sul;Loja Física;Sim;4;24;28/09/2022;Revendedor;Dinheiro;Fornecedor Delta
119;Micro-ondas modelo 685;Micro-ondas;Samsung;423,72;371,68;14;404.82;A;26.16;Centro-Oeste;Loja Física;Não;3;12;22/02/2022;Consumidor Final;PIX;Fornecedor Delta
120;Fogão modelo 337;Fogão;LG;1550,43;1281,35;21;246.59;B;74.44;Centro-Oeste;E-commerce;Não;4;24;28/05/2022;Revendedor;Boleto;Fornecedora Gamma
121;Máquina de Lavar modelo 883;Máquina de Lavar;Whirlpool;977,24;698,03;40;61.6;B;31.57;Centro-Oeste;Loja Física;Sim;5;24;27/05/2022;Revendedor;Dinheiro;Distribuidora Alfa
122;Secadora modelo 878;Secadora;Brastemp;2021,65;1821,31;11;111.28;B;6.24;Norte;E-commerce;Sim;4;18;01/12/2023;Revendedor;Dinheiro;Distribuidora Epsilon
123;Geladeira modelo 603;Geladeira;Brastemp;1340,64;1197,00;12;77.33;A;56.39;Centro-Oeste;Loja Física;Sim;4;12;03/10/2023;Consumidor Final;PIX;Distribuidora Alfa
124;Secadora modelo 399;Secadora;Electrolux;2147,82;1627,14;32;221.84;C;28.23;Nordeste;Loja Física;Sim;1;24;24/07/2023;Revendedor;PIX;Fornecedora Gamma
125;Fogão modelo 609;Fogão;Samsung;2074,54;1803,95;15;407.57;D;50.7;Sudeste;Loja Física;Não;5;24;29/12/2022;Consumidor Final;PIX;Distribuidora Beta
126;Secadora modelo 895;Secadora;Philco;418,48;284,68;47;307.02;D;56.45;Norte;Loja Física;Sim;2;36;19/11/2023;Consumidor Final;PIX;Distribuidora Beta
127;Máquina de Lavar modelo 668;Máquina de Lavar;Electrolux;1665,22;1271,16;31;283.26;A;95.64;Norte;E-commerce;Não;2;24;03/10/2023;Consumidor Final;PIX;Distribuidora Beta
128;Fogão modelo 926;Fogão;Samsung;2714,27;1911,46;42;381.67;D;20.28;Sudeste;Loja Física;Não;2;36;24/05/2023;Revendedor;Boleto;Fornecedora Gamma
129;Geladeira modelo 852;Geladeira;LG;660,81;475,40;39;303.95;D;97.9;Sudeste;Loja Física;Sim;5;24;06/08/2022;Revendedor;Dinheiro;Distribuidora Alfa
130;Micro-ondas modelo 299;Micro-ondas;Samsung;1268,77;932,92;36;242.51;C;80.85;Nordeste;Loja Física;Não;3;24;09/05/2022;Consumidor Final;Boleto;Fornecedor Delta
131;Fogão modelo 713;Fogão;Brastemp;583,95;521,38;12;130.35;C;82.46;Nordeste;Loja Física;Não;4;12;13/11/2023;Consumidor Final;Boleto;Distribuidora Epsilon
132;Secadora modelo 819;Secadora;Consul;2212,17;1975,15;12;488.38;C;36.17;Norte;Loja Física;Não;2;24;10/02/2023;Consumidor Final;Boleto;Distribuidora Alfa
133;Máquina de Lavar modelo 422;Máquina de Lavar;LG;2270,72;1940,79;17;433.66;C;30.83;Sudeste;E-commerce;Sim;4;36;20/09/2023;Revendedor;Dinheiro;Distribuidora Epsilon
134;Máquina de Lavar modelo 281;Máquina de Lavar;Consul;861,17;694,49;24;77.9;C;22.46;Sudeste;E-commerce;Sim;1;18;12/08/2023;Revendedor;Boleto;Fornecedora Gamma
135;Fogão modelo 906;Fogão;Consul;1829,37;1252,99;46;225.74;D;57.11;Norte;Loja Física;Sim;3;18;12/06/2023;Revendedor;Boleto;Distribuidora Epsilon
136;Máquina de Lavar modelo 722;Máquina de Lavar;Brastemp;1324,24;1193,01;11;193.33;D;62.14;Sudeste;E-commerce;Não;2;12;13/03/2023;Consumidor Final;Dinheiro;Fornecedor Delta
137;Máquina de Lavar modelo 614;Máquina de Lavar;LG;1185,62;790,41;50;83.88;B;17.13;Sudeste;Loja Física;Sim;3;36;24/10/2023;Revendedor;Boleto;Distribuidora Epsilon
138;Fogão modelo 101;Fogão;LG;1583,19;1199,39;32;165.53;C;13.14;Nordeste;E-commerce;Não;5;36;01/08/2023;Consumidor Final;Dinheiro;Distribuidora Beta
139;Secadora modelo 535;Secadora;Brastemp;2513,47;1963,65;28;452.96;B;5.63;Nordeste;Loja Física;Sim;4;36;23/07/2023;Revendedor;Cartão;Distribuidora Beta
140;Máquina de Lavar modelo 317;Máquina de Lavar;Samsung;1257,04;938,09;34;427.9;C;25.99;Sudeste;Loja Física;Não;3;18;16/04/2022;Consumidor Final;PIX;Distribuidora Alfa
141;Ar Condicionado modelo 752;Ar Condicionado;Consul;772,79;638,67;21;62.52;B;59.32;Norte;E-commerce;Não;2;18;05/10/2023;Revendedor;Boleto;Distribuidora Alfa
142;Máquina de Lavar modelo 636;Máquina de Lavar;Whirlpool;1137,02;902,40;26;155.03;B;35.21;Sul;Loja Física;Não;4;36;22/12/2022;Consumidor Final;Cartão;Distribuidora Beta
